ID,TeamNumber,MatchNumber,ScoutName,AutoNumberOfCycles,AutoShootingSpeed,AutoBallsPerCycle,AutoAccuracy,AutoRobotSpeed,AutoClimbingLevel,TeleNumberOfCycles,TeleShootingSpeed,TeleBallsPerCycle,TeleAccuracy,TeleRobotSpeed,TeleClimbingLevel,Score,DefenseScore,Comments
664,9644,1,semaj,1.00,2.00,2.00,3.00,1.00,0.00,0.00,2.00,2.00,2.00,2.00,0.00,3.00,2.00,Played defense. feed there side even in tele
665,10254,1,Terri,1.00,2.00,1.00,2.00,2.00,0.00,3.00,3.00,3.00,3.00,3.00,0.00,5.00,0.00,"Can pick from the floor. Picks up fuel fast. Good feeder to endzone. Caused a penalty, yellow card"
666,151,2,Terri,1.00,1.00,1.00,3.00,1.00,0.00,3.00,2.00,2.00,2.00,2.00,0.00,3.00,0.00,Can pick from the floor. Can pick from the outpost. Good feeder to endzone. Can go underneath trench. Played defense. 
667,5687,2,semaj,1.00,2.00,3.00,3.00,2.00,0.00,7.00,2.00,3.00,2.00,2.00,0.00,4.00,0.00,Can pick from the floor. 
668,8709,3,Terri,1.00,2.00,2.00,2.00,2.00,0.00,1.00,2.00,1.00,1.00,1.00,0.00,3.00,0.00,"Can pick from the floor. Can't go under trench. heavily defended, was not able to shoot well because of that."
669,131,3,semaj,1.00,1.00,3.00,2.00,1.00,0.00,5.00,2.00,3.00,2.00,2.00,0.00,3.00,0.00,Can pick from the floor. 
670,4925,4,Terri,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,1.00,1.00,1.00,0.00,2.00,0.00,backed up in auto but was shooting backwards. shot only a few at a time.
671,4905,4,semaj,1.00,1.00,1.00,1.00,1.00,0.00,8.00,1.00,1.00,2.00,2.00,0.00,2.00,0.00,Shoot like 2 every second
672,2079,5,Terri,0.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,3.00,3.00,3.00,0.00,5.00,0.00,Shoots from middle of the field to end zone
673,78,5,semaj,1.00,2.00,2.00,2.00,2.00,0.00,4.00,2.00,2.00,2.00,2.00,0.00,3.00,0.00,Picks up fuel fast. 
674,173,6,Terri,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,1.00,0.00,2.00,4.00,Team 5000 stole our fuel we put in the end zone
675,5813,6,jeanette,2.00,2.00,1.00,0.00,0.00,0.00,7.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,they were good
676,571,7,Terri,1.00,2.00,3.00,3.00,3.00,0.00,6.00,3.00,3.00,3.00,3.00,0.00,5.00,0.00,Super fast and accurate robot. shoots while scooping and moving.
677,4311,7,jeanette,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,2.00,1.00,0.00,0.00,2.00,0.00,Can pick from the floor. Picks up fuel fast. 
678,172,8,Terri,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2.00,1.00,1.00,2.00,0.00,2.00,0.00,Shoot fuel to the end zone at times
679,10063,8,jeanette,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"hit everything ,broke there intake right at the start"
680,1073,9,jeanette,1.00,2.00,0.00,0.00,0.00,0.00,8.00,2.00,2.00,3.00,0.00,0.00,0.00,0.00,Could shoot one fuel at a time to the hub
681,131,9,Terri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,only scooped up fuel to shoot to end zone
682,2876,10,jeanette,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,1.00,2.00,0.00,1.00,2.00,Played defense. 
683,10254,10,Terri,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,0.00,3.00,0.00,"was heavily defended. when heavily defended, didn't shoot well."
684,1729,11,jeanette,1.00,3.00,3.00,3.00,2.00,0.00,3.00,3.00,3.00,3.00,2.00,0.00,0.00,0.00,
685,5813,11,Bailey,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
686,4905,12,jeanette,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Beach themself and could not move last half of the game. played defense
687,2067,12,Bailey,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,Good
688,2718,13,jeanette,3.00,0.00,0.00,0.00,0.00,0.00,4.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,Very good I would pick  this team is 2713
689,8724,13,Bailey,1.00,0.00,0.00,0.00,0.00,0.00,5.00,2.00,3.00,2.00,2.00,0.00,3.00,0.00,Good robot
690,10063,14,jeanette,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,Can go underneath trench. Just pushed fuel around played defense
691,1512,14,Bailey,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,3.00,0.00,3.00,0.00,decent.
692,571,15,jeanette,2.00,2.00,0.00,0.00,0.00,0.00,7.00,2.00,3.00,2.00,3.00,0.00,0.00,0.00,Can pick from the outpost. Can pick from the floor. Can pick from the floor. Picks up fuel fast. 
693,8567,15,Bailey,1.00,2.00,1.00,2.00,1.00,0.00,5.00,2.00,1.00,3.00,2.00,0.00,2.00,0.00,Can pick from the floor. 
694,348,16,thomas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,3.00,Played defense. 
695,195,16,Terri,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,2.00,0.00,0.00,3.00,0.00,
696,1768,17,thomas,1.00,3.00,3.00,3.00,2.00,0.00,3.00,3.00,3.00,3.00,2.00,0.00,5.00,0.00,Can pick from the floor. Picks up fuel fast. Good feeder to endzone. Can go underneath trench. 
697,509,17,Terri,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Moved in auto but no shots. played defense. was throwing some balls from center field to end zone
698,5687,18,thomas,1.00,3.00,3.00,3.00,3.00,0.00,7.00,3.00,3.00,3.00,3.00,0.00,5.00,0.00,Can pick from the floor. Picks up fuel fast. Good feeder to endzone. Can go underneath trench. 
699,131,18,Terri,1.00,1.00,1.00,1.00,1.00,0.00,5.00,2.00,2.00,2.00,2.00,0.00,4.00,0.00,
700,8724,19,thomas,2.00,2.00,2.00,3.00,2.00,0.00,9.00,2.00,2.00,3.00,3.00,0.00,4.00,0.00,Can pick from the floor. Good feeder to endzone. Picks up fuel fast. 
701,5112,19,Terri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No show
702,125,20,thomas,1.00,3.00,2.00,2.00,3.00,0.00,10.00,3.00,3.00,3.00,3.00,0.00,5.00,0.00,Can pick from the floor.  Good feeder to endzone. Picks up fuel fast. Can go underneath trench. 
703,230,20,Terri,1.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,3.00,3.00,3.00,0.00,4.00,0.00,Played excellent defense at times too
704,10254,21,jaaaaaaaamesssssssss,1.00,2.00,3.00,2.00,2.00,0.00,3.00,2.00,3.00,3.00,2.00,0.00,4.00,0.00,Big hoper
705,4311,21,Terri,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Did good in auto then chugged and chugged and chugged then died.
706,2713,22,jaaaaaaaamesssssssss,1.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,2.00,2.00,2.00,0.00,3.00,0.00,Missed a bit
707,7127,22,Terri,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2.00,2.00,2.00,2.00,0.00,3.00,0.00,
708,571,23,jaaaaaaaamesssssssss,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00,Was eating popsicle so not acrter
709,348,23,Terri,1.00,1.00,1.00,1.00,1.00,0.00,4.00,2.00,2.00,2.00,2.00,0.00,4.00,0.00,
710,3146,24,jaaaaaaaamesssssssss,1.00,0.00,0.00,0.00,0.00,0.00,4.00,3.00,2.00,3.00,2.00,0.00,3.00,0.00,Picks up fuel fast. 
711,4925,24,Terri,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,0.00,0.00,3.00,0.00,Robot died near hub
712,133,25,jaaaaaaaamesssssssss,2.00,3.00,2.00,2.00,2.00,0.00,5.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,DON'T PICK! DON'T PICK! DON'T PICK! 
713,1729,25,Terri,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,0.00,3.00,0.00,
714,8724,26,rachel,2.00,2.00,2.00,2.00,2.00,0.00,8.00,2.00,2.00,2.00,2.00,0.00,4.00,0.00,very good. just not top top robot
715,4311,26,Jean,2.00,3.00,3.00,2.00,2.00,0.00,5.00,3.00,3.00,2.00,3.00,0.00,3.00,0.00,"On: shoots well, but a defense bit can push them so that they miss.
Off: sweeps around neutral zone and shoots fuel to their side."
716,1058,27,rachel,0.00,0.00,0.00,0.00,0.00,0.00,7.00,3.00,2.00,2.00,2.00,0.00,3.00,0.00,no middle auto. seemed to struggle with picking up ball
717,2370,27,Jean,2.00,3.00,3.00,3.00,3.00,0.00,8.00,3.00,3.00,3.00,3.00,0.00,4.00,0.00,"Off: they are very efficient at picking up fuel in neutral zone and sending it to their side. then during on, they can quickly pick up much fuel and shot it in the hub.  
Need to interfere with their picking up fuel during off time."
718,151,28,rachel,1.00,2.00,2.00,2.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Didn't even do defense.just pushed balls around
719,10254,28,Jean,1.00,3.00,3.00,3.00,2.00,0.00,6.00,3.00,3.00,3.00,2.00,0.00,4.00,0.00,"auto: does one run through neutral and shoots fuel. waited for 5 seconds before moving back to neutral zone. holds a lot of fuel.

runs around neutral zone collecting fuel and then shooting when on."
720,2876,29,rachel,0.00,0.00,0.00,0.00,1.00,0.00,4.00,1.00,1.00,2.00,2.00,0.00,2.00,0.00,Can't pick up good
721,2713,29,Jean,2.00,3.00,3.00,2.00,3.00,0.00,8.00,3.00,3.00,3.00,3.00,0.00,4.00,0.00,"sends fuel from neutral during off then shoots accumulated fuel into hub very efficiently.  very fast.  

"
722,8709,30,rachel,1.00,0.00,0.00,0.00,1.00,0.00,4.00,2.00,1.00,2.00,2.00,0.00,2.00,0.00,Slow picking up
723,236,30,Jean,2.00,3.00,3.00,2.00,3.00,0.00,5.00,3.00,3.00,2.00,3.00,0.00,3.00,0.00,
724,195,31,j@m3s,1.00,2.00,3.00,0.00,0.00,0.00,5.00,3.00,3.00,3.00,2.00,0.00,4.00,0.00,Big hopper
725,9644,31,Jean,2.00,3.00,2.00,2.00,3.00,0.00,3.00,3.00,2.00,1.00,3.00,0.00,2.00,0.00,Aim was very poor. Also seemed to have problems with the intake.
726,175,32,j@m3s,1.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,2.00,2.00,3.00,0.00,3.00,0.00,Fast
727,3146,32,Jean,2.00,3.00,2.00,3.00,2.00,0.00,5.00,3.00,3.00,3.00,2.00,0.00,3.00,0.00,they stayed in their zone as much as possible and (once hopper was full) just hung out until it was their turn to shoot into the hub.  wasted a lot of time.
728,4905,33,j@m3s,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,2.00,2.00,2.00,0.00,3.00,0.00,no shoot in auto
729,155,33,Jean,2.00,2.00,2.00,3.00,1.00,0.00,4.00,2.00,2.00,3.00,2.00,0.00,2.00,0.00,"could shoot, but was slow about actually picking up fuel."
730,172,34,j@m3s,1.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,2.00,2.00,2.00,0.00,3.00,0.00,Cool lights
731,58,34,Jean,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,2.00,3.00,2.00,0.00,2.00,0.00,"Robot hit in auto so it didn't make it back to shoot then.

"
732,2713,35,j@m3s,2.00,3.00,3.00,3.00,2.00,0.00,4.00,3.00,3.00,3.00,2.00,0.00,4.00,0.00,Turret shorter
733,5813,35,Jean,2.00,3.00,3.00,3.00,3.00,0.00,7.00,3.00,3.00,3.00,3.00,0.00,3.00,0.00,the were some glitches shooting when the hopper was really full.
734,1073,36,j@m3s,2.00,3.00,3.00,2.00,2.00,0.00,4.00,3.00,3.00,2.00,2.00,0.00,4.00,0.00,Picks up fuel fast. 
735,2170,36,Terri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Didn't move in auto. played defense and died soon on opposing side of the field.
736,7127,37,j@m3s,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Left? Had technical issues. 
737,9644,37,Terri,2.00,0.00,0.00,0.00,0.00,0.00,7.00,3.00,3.00,3.00,3.00,0.00,5.00,0.00,"Auto, backed up and shot"
738,230,38,thomas,1.00,2.00,3.00,3.00,3.00,0.00,6.00,2.00,3.00,2.00,3.00,0.00,4.00,0.00,"Can pick from the floor. Good feeder to endzone. Picks up fuel fast. 

"
739,8708,38,Terri,1.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,2.00,2.00,2.00,0.00,3.00,0.00,
740,6324,39,thomas,2.00,3.00,3.00,2.00,3.00,0.00,7.00,2.00,3.00,3.00,3.00,0.00,3.00,0.00,Picks up fuel fast. Can pick from the floor. Can go underneath trench. Good feeder to endzone. 
741,3146,39,Terri,2.00,2.00,2.00,2.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"In auto, has a 2 cycle auto where they shoot from the side of hub."
742,509,40,thomas,1.00,2.00,1.00,0.00,3.00,0.00,2.00,2.00,1.00,3.00,3.00,0.00,3.00,4.00,Played defense. Can pick from the floor. Can go underneath trench. Missed shooting fuel into hub. 
743,78,40,Terri,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
744,1512,44,james,1.00,3.00,3.00,3.00,2.00,0.00,8.00,2.00,3.00,3.00,2.00,0.00,4.00,0.00,
745,4905,44,rachel,0.00,0.00,3.00,0.00,2.00,0.00,4.00,2.00,1.00,2.00,2.00,0.00,2.00,0.00,Shooter got jammed in auto. never got full after thag. shot 5 at a tims
746,173,45,james,2.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,3.00,2.00,2.00,0.00,0.00,0.00,Got fuel from the outpost
747,2170,45,rachel,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,Really good. kept a robot in the middle for a solid 30 seconds. worried about a couple pin counts. if the ref would have been stricter there would have been one. but none this tjme. also seemed to die at the very end.
748,2079,46,james,2.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,Played defense. 
749,133,46,rachel,2.00,3.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Broke..... :(
