Id,Team_Num,Drive_Train,Drive_Train_Other,Start_Left,Start_Middle,Start_Right,Auto_Climb,Auto_Shoot,Auto_Best,Max_Fuel,Can_Climb,Climb_Level,Climb_Loc_Side,Climb_Loc_Middle,Strength,Fps,Travel_Route_Over,Travel_Route_Under,Human_Acc,Auto_Cycles,Play_Defense,Will_Feed,Comments
86,58,1,,0,0,0,0,1,,30,0,0,0,0,shoot anywhere,6,0,1,2,1,1,1,
87,78,1,,0,0,1,0,1,,45,0,0,0,0,throughput,15,0,1,3,2,1,1,
88,125,1,,1,0,1,0,1,,75,0,0,0,0,clean up side of feild,15,0,1,2,2,0,1,
89,131,1,,1,1,1,0,1,,40,0,0,0,0,scoring,7,0,1,3,2,1,1,
90,133,1,,1,0,1,0,0,,50,0,0,0,0,your elemental power is green,0,0,1,3,2,1,1,
91,151,1,,0,0,0,0,1,,18,0,0,0,0,pass and defence,4,0,1,2,2,1,1,
92,155,1,,1,1,1,0,1,,30,0,0,0,0,shoot anywhere,3,0,1,2,1,1,1,
93,172,1,,1,1,1,1,1,,45,1,1,1,1,,8,1,1,2,3,1,1,Good defense 
94,173,1,,1,0,1,0,1,,65,0,0,0,0,defence and pass,8,1,0,2,2,1,0,Only go over
95,175,1,,1,0,1,1,1,,75,1,1,1,0,passing shooting,3,1,1,3,2,1,1,
96,195,1,,1,0,1,0,1,,50,0,0,0,0,score,20,1,1,2,2,0,1,
97,230,1,,1,0,1,0,1,,40,0,0,0,0,high points,12,1,0,2,2,1,1,
98,236,1,,1,0,1,1,1,,40,1,1,1,1,shooting from anywhere,6,1,1,3,2,0,1,
99,348,1,,1,0,1,1,1,,40,1,1,1,0,,2,1,1,2,1,0,0,No floor auto hard to talk to
100,509,1,,1,0,1,0,0,,34,0,0,0,0,defence,7,1,1,2,2,1,1,
101,571,1,,1,0,1,0,1,,40,0,0,0,0,big ball storage,8,1,1,2,2,1,1,
102,1058,1,,1,0,1,0,1,,50,0,0,0,0,fast cyckes,12,1,1,3,2,1,1,
103,1073,1,,1,1,1,1,1,,55,1,1,1,0,turret,6,1,1,2,2,0,1,
104,1512,1,,1,0,1,0,1,,45,0,0,0,0,offence and defence,8,1,0,3,15,1,1,
105,1729,1,,1,1,1,0,1,,100,0,0,0,0,accuracy,10,1,0,2,1,1,1,
106,1768,1,,1,0,1,0,1,,55,0,0,0,0,fuel shooting,20,1,1,2,3,1,1,
107,2067,1,,0,1,0,0,1,,80,0,0,0,0,scoring,12,1,0,2,1,1,1,Only over
108,2079,1,,1,0,0,0,1,left side,60,0,0,0,0,fast shooting,7,1,1,3,2,1,1,
109,2170,1,,0,0,0,0,0,no auto ,35,0,0,0,0,defense,7,1,1,3,0,1,1,
110,2370,1,,1,0,1,0,1,,40,0,0,0,0,shoot while moving,5,1,1,2,2,1,1,
111,2713,1,,1,0,1,0,1,"start at trench, 2 sweep cycles",70,0,0,0,0,"shooting, shoot on the fly",8,1,1,2,2,1,1,"Prefer not to play defense but will, can do both over and under"
112,2876,1,,1,0,1,0,1,shoot preload of 8,36,0,0,0,0,"defense, hoarding, shooting ",0,1,1,3,1,1,1,
