ID,TeamNumber,MatchNumber,ScoutName,AutoNumberOfCycles,AutoShootingSpeed,AutoBallsPerCycle,AutoAccuracy,AutoRobotSpeed,AutoClimbingLevel,TeleNumberOfCycles,TeleShootingSpeed,TeleBallsPerCycle,TeleAccuracy,TeleRobotSpeed,TeleClimbingLevel,Score,Comments
136,433,1,DAB,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,1.00,0.00,0.00,Had technical issues. 
137,151,3,pat,0.00,1.00,1.00,1.00,1.00,0.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,No just no. kitbot and slow. do not pick would be better with no robot-pat
138,4546,10,td,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,"Herded many, many, many balls so nutrons could shoot balls. "
139,2876,11,rachel,0.00,0.00,0.00,0.00,1.00,0.00,4.00,1.00,1.00,1.00,1.00,0.00,1.00,First time scouting. they were steadily not good. missed most balls. never filled up very much
140,69,12,rachel,1.00,1.00,1.00,0.00,1.00,0.00,5.00,2.00,1.00,2.00,1.00,0.00,3.00,Shooting not bad. takes forever to collect balls
141,3958,13,rachel,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,Slow slow. took the whole match to fill up
142,10156,14,rachel,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,Defence only. not that bad at it
143,6367,15,Thomas6367,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,3.00,Can pick from the floor. Can go underneath trench. 
144,238,16,Td..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Never moved. 
145,4169,17,Td..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Just wandered around. 
146,3566,18,Td..,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Played defense. Can pick from the outpost. Pushed balls out of opposing area into their scoring area.
147,5563,19,Td..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Wanderwd around then Broke down. 
148,1058,20,Td..,0.00,3.00,3.00,3.00,3.00,0.00,0.00,3.00,3.00,3.00,3.00,0.00,0.00,
149,2876,21,Td..,0.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,3.00,
150,4169,22,Td..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Wanders but doesn't score
151,4546,23,Td..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"didn't do much, Hit the wall and died"
152,238,24,Td..,0.00,2.00,2.00,3.00,3.00,0.00,0.00,0.00,3.00,3.00,3.00,0.00,5.00,Huge hopper
153,97,25,Td..,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,1.00,0.00,3.00,
154,2084,26,Td..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Didn't do much
155,2713,27,Td..,0.00,3.00,3.00,3.00,3.00,0.00,0.00,3.00,3.00,3.00,3.00,0.00,5.00,Great at scooping balls from other end of field and shooting toward their end zone
156,2877,28,Td..,0.00,2.00,2.00,2.00,2.00,0.00,0.00,3.00,3.00,3.00,2.00,0.00,4.00,Can shoot from great distance
157,4311,29,Td..,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,2.00,Gathered balls and shot to their end of the field. Played defense. 
158,10912,30,Td..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tried to play defense. didn't do much at all.
159,4169,31,louis,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Road around field
160,5813,32,louis,1.00,3.00,3.00,3.00,3.00,0.00,5.00,3.00,3.00,3.00,3.00,0.00,5.00,
161,2713,33,td,1.00,2.00,3.00,2.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,2.00,0.00,Played defense. 
162,11483,34,james,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,Gathered balls
163,4311,35,james,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,0.00,0.00,Can pick from the floor. 
164,10912,36,james,2.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,0.00,3.00,Can pick from the floor. 
165,1761,37,james,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Spun in circles. intake/shooter issues? crossed the field at 20 seconds to go and then died
166,5813,38,Zander,1.00,3.00,3.00,2.00,2.00,0.00,6.00,3.00,3.00,3.00,2.00,0.00,5.00,great performance
167,1922,39,Zander,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,1.00,3.00,2.00,0.00,4.00,
168,3205,40,Zander,1.00,0.00,0.00,0.00,2.00,0.00,2.00,1.00,1.00,2.00,2.00,0.00,1.00,Very bad shooter. good at collecting balls on their side of the field. 
169,2877,41,Zander,2.00,1.00,1.00,2.00,3.00,0.00,3.00,2.00,2.00,2.00,3.00,0.00,2.00,"Inconsistent shooting. sometimes slow and inaccurate, sometimes decent"
170,97,42,Zander,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,Major shooter issues
171,78,43,Zander,1.00,3.00,2.00,1.00,3.00,0.00,5.00,3.00,3.00,1.00,3.00,0.00,2.00,"Misfired a lot. over the alliance wall, the opposite side of the field, and early into the goal. "
172,125,44,Zander,2.00,3.00,3.00,3.00,2.00,0.00,7.00,3.00,3.00,3.00,2.00,0.00,5.00,"Excuse my language, but woah. "
173,5735,45,Zander,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"I don't know if they shot any balls or not. any time I saw balls, I think it was from another robot. "
174,9443,1,td,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Played a little defense. can only go over trench. Meandered around the field. did not pick up balls or shoot any.
175,3566,2,colby,0.00,1.00,0.00,2.00,0.00,0.00,4.00,1.00,1.00,2.00,1.00,0.00,1.00,Slow and didn't move a lot. Could do trench.
176,3205,3,colby,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,Only played offence and attacked other teams robots
177,2423,4,colby,0.00,0.00,0.00,0.00,1.00,0.00,5.00,2.00,1.00,3.00,1.00,0.00,2.00,Broke the entire front of robot but still managed to help their team. Wrong intake height for trench.
178,5735,5,colby,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Didn't move or shoot at all
179,2876,6,colby,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2.00,2.00,1.00,2.00,0.00,2.00,Can go underneath trench. Can pick from the floor. Missed shooting fuel into hub a lot. Broke from being rammed into. Struggled with bump.
