ID,TeamNumber,MatchNumber,ScoutName,AutoNumberOfCycles,AutoShootingSpeed,AutoBallsPerCycle,AutoAccuracy,AutoRobotSpeed,AutoClimbingLevel,TeleNumberOfCycles,TeleShootingSpeed,TeleBallsPerCycle,TeleAccuracy,TeleRobotSpeed,TeleClimbingLevel,Score,DefenseScore,Comments
440,58,15,rachel,1.00,1.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Didn't move at all in tele. driving seemed broken
506,58,34,Jennifer,1.00,3.00,3.00,3.00,3.00,0.00,3.00,3.00,3.00,3.00,2.00,0.00,2.00,0.00,Broke down. Halfway in tele. Can pick from the outpost. Can pick from the floor. 
529,58,38,Jean/Louis,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,2.00,2.00,2.00,0.00,2.00,0.00, they shot over the drivers station during auto.
654,58,20,Chloe,1.00,2.00,2.00,3.00,3.00,0.00,5.00,2.00,2.00,3.00,2.00,0.00,4.00,0.00,"Faced some defense, affected pickup and accuracy"
546,58,8,Zander,1.00,2.00,2.00,1.00,2.00,0.00,7.00,1.00,2.00,2.00,2.00,0.00,2.00,0.00,Very slow shooter
568,58,30,Zander,1.00,1.00,2.00,2.00,2.00,0.00,7.00,1.00,2.00,2.00,1.00,0.00,3.00,0.00,They did okay but definitely shouldnt be 3rd
590,58,4,DAB,1.00,2.00,2.00,2.00,2.00,2.00,7.00,3.00,2.00,3.00,2.00,0.00,3.00,0.00,"I think there was a problem with their intake, would pick up some, then had problems finishing filling."
634,58,47,scott,1.00,2.00,2.00,1.00,3.00,0.00,8.00,2.00,2.00,2.00,3.00,0.00,3.00,0.00,Ok
480,69,8,Jennifer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Too much fuel they can't shoot? never shot anything.  just drive around this match.
611,69,25,td,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,3.00,3.00,0.00,4.00,0.00,Can pick from the floor. 
533,69,42,Chloe,1.00,3.00,3.00,2.00,0.00,0.00,4.00,3.00,3.00,2.00,2.00,0.00,3.00,0.00,good second pick
541,69,3,Thomas,0.00,0.00,0.00,0.00,1.00,0.00,4.00,2.00,2.00,2.00,3.00,0.00,3.00,3.00,Got a fuel stuck inside for a bit Can pick from the floor. 
617,69,31,DAB,1.00,0.00,0.00,1.00,0.00,0.00,5.00,2.00,2.00,2.00,2.00,0.00,3.00,0.00,"Wasn't accurate at first, but ended up carrying the whole alliance."
652,69,18,Jean,0.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,2.00,3.00,3.00,0.00,3.00,0.00,20+ fuel per cycle. good bot
414,69,35,scott,1.00,1.00,3.00,1.00,0.00,0.00,6.00,3.00,3.00,3.00,2.00,0.00,4.00,0.00,No issues
515,133,43,Jennifer,1.00,1.00,1.00,3.00,3.00,0.00,3.00,3.00,3.00,3.00,3.00,0.00,5.00,0.00,Barley shoot in auto. shooter stopped working.
650,133,16,Jean,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,Ouch. fuel got stuck in intake and couldn't take in any more fuel.
564,133,26,Thomas,1.00,3.00,3.00,3.00,2.00,0.00,5.00,3.00,3.00,3.00,3.00,0.00,5.00,3.00,Can pick from the floor. Good feeder to endzone. Can go underneath trench.  damage intake
416,133,37,scott,2.00,3.00,3.00,3.00,3.00,0.00,6.00,3.00,3.00,3.00,3.00,0.00,5.00,0.00,Had technical issues. Intake
484,133,12,Jennifer,2.00,3.00,3.00,2.00,3.00,0.00,7.00,3.00,3.00,3.00,3.00,0.00,5.00,0.00,Best team ever!!! Picks up fuel fast. Good feeder to endzone. Good job fully emptying every time!
544,133,6,Thomas,1.00,3.00,3.00,3.00,3.00,0.00,8.00,3.00,3.00,3.00,3.00,0.00,5.00,0.00,Can pick from the floor Can go underneath trench. Good feeder to endzone. SURFED ON THE FUEL!
558,133,20,Zander,2.00,2.00,1.00,2.00,2.00,0.00,8.00,3.00,3.00,3.00,3.00,0.00,5.00,0.00,That was solid. john thought the intake looked a little floppy this match. 
